"store_city","store_name","product_name","sold_product_amount","product_profit"
"Tuxtla Gutierrez","Maven Toys Tuxtla Gutierrez 1","Action Figure",1558,9348.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 1","Colorbuds",1548,12384.00
"Villahermosa","Maven Toys Villahermosa 1","Deck Of Cards",1545,4635.00
"Guadalajara","Maven Toys Guadalajara 4","Barrel O' Slime",1541,3082.00
"Puebla","Maven Toys Puebla 3","Lego Bricks",1537,7685.00
"Guadalajara","Maven Toys Guadalajara 1","Magic Sand",1536,3072.00
"Puebla","Maven Toys Puebla 3","Action Figure",1535,9210.00
"Campeche","Maven Toys Campeche 1","Action Figure",1529,9174.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 2","Animal Figures",1518,4554.00
"Monterrey","Maven Toys Monterrey 2","Magic Sand",1517,3034.00
"Mexicali","Maven Toys Mexicali 2","Action Figure",1511,9066.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 4","Rubik's Cube",1511,3022.00
"Mexicali","Maven Toys Mexicali 1","Barrel O' Slime",1505,3010.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 1","Dino Egg",1503,1503.00
"Guadalajara","Maven Toys Guadalajara 4","Lego Bricks",1501,7505.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 4","Barrel O' Slime",1497,2994.00
"Hermosillo","Maven Toys Hermosillo 2","Splash Balls",1494,1494.00
"Monterrey","Maven Toys Monterrey 4","Colorbuds",1485,11880.00
"Puebla","Maven Toys Puebla 3","Deck Of Cards",1477,4431.00
"Guanajuato","Maven Toys Guanajuato 2","Barrel O' Slime",1475,2950.00
"San Luis Potosi","Maven Toys San Luis Potosi 1","Colorbuds",1470,11760.00
"Ciudad Victoria","Maven Toys Ciudad Victoria 1","Lego Bricks",1467,7335.00
"Mexicali","Maven Toys Mexicali 2","PlayDoh Can",1459,1459.00
"Hermosillo","Maven Toys Hermosillo 2","Action Figure",1456,8736.00
"Morelia","Maven Toys Morelia 1","Splash Balls",1455,1455.00
"Campeche","Maven Toys Campeche 2","PlayDoh Can",1446,1446.00
"Tuxtla Gutierrez","Maven Toys Tuxtla Gutierrez 1","Mini Ping Pong Set",1442,4326.00
"Chihuahua","Maven Toys Chihuahua 2","Action Figure",1438,8628.00
"Chilpancingo","Maven Toys Chilpancingo 1","Barrel O' Slime",1435,2870.00
"Mexicali","Maven Toys Mexicali 2","Lego Bricks",1434,7170.00
"La Paz","Maven Toys La Paz 1","Barrel O' Slime",1428,2856.00
"Santiago","Maven Toys Santiago 1","Colorbuds",1424,11392.00
"Hermosillo","Maven Toys Hermosillo 2","Lego Bricks",1422,7110.00
"San Luis Potosi","Maven Toys San Luis Potosi 1","Deck Of Cards",1420,4260.00
"Toluca","Maven Toys Toluca 1","Dino Egg",1419,1419.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 3","Action Figure",1418,8508.00
"Santiago","Maven Toys Santiago 1","Deck Of Cards",1411,4233.00
"Puebla","Maven Toys Puebla 2","Action Figure",1409,8454.00
"Pachuca","Maven Toys Pachuca 1","Magic Sand",1402,2804.00
"Campeche","Maven Toys Campeche 2","Deck Of Cards",1398,4194.00
"Campeche","Maven Toys Campeche 1","Magic Sand",1394,2788.00
"Hermosillo","Maven Toys Hermosillo 2","Magic Sand",1393,2786.00
"Guanajuato","Maven Toys Guanajuato 1","Animal Figures",1381,4143.00
"Villahermosa","Maven Toys Villahermosa 1","Magic Sand",1379,2758.00
"Guadalajara","Maven Toys Guadalajara 2","Magic Sand",1376,2752.00
"Chetumal","Maven Toys Chetumal 1","Magic Sand",1376,2752.00
"Chihuahua","Maven Toys Chihuahua 2","PlayDoh Can",1370,1370.00
"Mexicali","Maven Toys Mexicali 1","Magic Sand",1358,2716.00
"Tuxtla Gutierrez","Maven Toys Tuxtla Gutierrez 1","Colorbuds",1358,10864.00
"Chihuahua","Maven Toys Chihuahua 1","Barrel O' Slime",1357,2714.00
"Ciudad Victoria","Maven Toys Ciudad Victoria 1","Magic Sand",1353,2706.00
"Campeche","Maven Toys Campeche 2","Colorbuds",1352,10816.00
"Chilpancingo","Maven Toys Chilpancingo 1","Magic Sand",1348,2696.00
"Chetumal","Maven Toys Chetumal 1","Barrel O' Slime",1344,2688.00
"Xalapa","Maven Toys Xalapa 2","Deck Of Cards",1342,4026.00
"Pachuca","Maven Toys Pachuca 1","Mini Ping Pong Set",1341,4023.00
"Guadalajara","Maven Toys Guadalajara 4","Animal Figures",1336,4008.00
"Mexicali","Maven Toys Mexicali 2","Splash Balls",1329,1329.00
"Guadalajara","Maven Toys Guadalajara 3","Dinosaur Figures",1327,5308.00
"Guadalajara","Maven Toys Guadalajara 4","Rubik's Cube",1325,2650.00
"Toluca","Maven Toys Toluca 2","PlayDoh Can",1323,1323.00
"Villahermosa","Maven Toys Villahermosa 1","Action Figure",1319,7914.00
"Toluca","Maven Toys Toluca 1","Animal Figures",1317,3951.00
"Chetumal","Maven Toys Chetumal 1","Lego Bricks",1308,6540.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 4","Action Figure",1307,7842.00
"Guadalajara","Maven Toys Guadalajara 3","Dino Egg",1303,1303.00
"Toluca","Maven Toys Toluca 1","Rubik's Cube",1301,2602.00
"Monterrey","Maven Toys Monterrey 4","Magic Sand",1297,2594.00
"San Luis Potosi","Maven Toys San Luis Potosi 1","Lego Bricks",1295,6475.00
"Monterrey","Maven Toys Monterrey 4","Action Figure",1287,7722.00
"Santiago","Maven Toys Santiago 1","Lego Bricks",1283,6415.00
"Guadalajara","Maven Toys Guadalajara 3","Animal Figures",1281,3843.00
"Oaxaca","Maven Toys Oaxaca 1","Lego Bricks",1281,6405.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 3","Dino Egg",1276,1276.00
"Xalapa","Maven Toys Xalapa 2","Action Figure",1272,7632.00
"San Luis Potosi","Maven Toys San Luis Potosi 1","Splash Balls",1270,1270.00
"Puebla","Maven Toys Puebla 2","Deck Of Cards",1269,3807.00
"Puebla","Maven Toys Puebla 3","Dinosaur Figures",1267,5068.00
"Puebla","Maven Toys Puebla 1","Barrel O' Slime",1266,2532.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 2","Rubik's Cube",1265,2530.00
"Guanajuato","Maven Toys Guanajuato 3","Splash Balls",1265,1265.00
"Guadalajara","Maven Toys Guadalajara 1","Action Figure",1262,7572.00
"Monterrey","Maven Toys Monterrey 2","Rubik's Cube",1262,2524.00
"Ciudad Victoria","Maven Toys Ciudad Victoria 1","Deck Of Cards",1262,3786.00
"Santiago","Maven Toys Santiago 1","Action Figure",1261,7566.00
"Guadalajara","Maven Toys Guadalajara 3","Magic Sand",1257,2514.00
"Mexicali","Maven Toys Mexicali 1","Gamer Headphones",1257,7542.00
"Oaxaca","Maven Toys Oaxaca 1","PlayDoh Can",1253,1253.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 3","Lego Bricks",1247,6235.00
"Chihuahua","Maven Toys Chihuahua 2","Magic Sand",1242,2484.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 4","Lego Bricks",1242,6210.00
"Campeche","Maven Toys Campeche 1","PlayDoh Can",1241,1241.00
"Oaxaca","Maven Toys Oaxaca 1","Deck Of Cards",1240,3720.00
"Pachuca","Maven Toys Pachuca 1","Action Figure",1233,7398.00
"Guanajuato","Maven Toys Guanajuato 1","Action Figure",1231,7386.00
"Guanajuato","Maven Toys Guanajuato 2","Lego Bricks",1223,6115.00
"Guadalajara","Maven Toys Guadalajara 3","Dart Gun",1221,4884.00
"Hermosillo","Maven Toys Hermosillo 1","Action Figure",1219,7314.00
"Tuxtla Gutierrez","Maven Toys Tuxtla Gutierrez 1","Magic Sand",1218,2436.00
"La Paz","Maven Toys La Paz 1","PlayDoh Can",1215,1215.00
"Saltillo","Maven Toys Saltillo 1","Magic Sand",1212,2424.00
"Ciudad Victoria","Maven Toys Ciudad Victoria 1","Barrel O' Slime",1207,2414.00
"Monterrey","Maven Toys Monterrey 2","Action Figure",1203,7218.00
"Guanajuato","Maven Toys Guanajuato 3","Magic Sand",1194,2388.00
"Guadalajara","Maven Toys Guadalajara 3","Splash Balls",1191,1191.00
"Durango","Maven Toys Durango 1","Splash Balls",1191,1191.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 3","Colorbuds",1191,9528.00
"Aguascalientes","Maven Toys Aguascalientes 1","PlayDoh Can",1189,1189.00
"Guadalajara","Maven Toys Guadalajara 3","PlayDoh Toolkit",1178,1178.00
"Monterrey","Maven Toys Monterrey 3","Lego Bricks",1177,5885.00
"Puebla","Maven Toys Puebla 2","Lego Bricks",1176,5880.00
"Toluca","Maven Toys Toluca 1","Dart Gun",1173,4692.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 2","Nerf Gun",1173,5865.00
"Merida","Maven Toys Merida 1","Magic Sand",1171,2342.00
"Chilpancingo","Maven Toys Chilpancingo 1","Action Figure",1167,7002.00
"Guanajuato","Maven Toys Guanajuato 3","Barrel O' Slime",1167,2334.00
"Toluca","Maven Toys Toluca 1","Colorbuds",1164,9312.00
"Toluca","Maven Toys Toluca 2","Magic Sand",1163,2326.00
"Guanajuato","Maven Toys Guanajuato 2","Magic Sand",1161,2322.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 4","Dart Gun",1161,4644.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 3","Animal Figures",1160,3480.00
"Campeche","Maven Toys Campeche 1","Colorbuds",1159,9272.00
"Guadalajara","Maven Toys Guadalajara 2","Action Figure",1158,6948.00
"Campeche","Maven Toys Campeche 1","Rubik's Cube",1156,2312.00
"Guadalajara","Maven Toys Guadalajara 3","Nerf Gun",1152,5760.00
"Saltillo","Maven Toys Saltillo 2","Deck Of Cards",1148,3444.00
"Puebla","Maven Toys Puebla 1","Magic Sand",1142,2284.00
"Guadalajara","Maven Toys Guadalajara 4","Dinosaur Figures",1142,4568.00
"Chetumal","Maven Toys Chetumal 1","Deck Of Cards",1142,3426.00
"Merida","Maven Toys Merida 1","Deck Of Cards",1142,3426.00
"Xalapa","Maven Toys Xalapa 2","Rubik's Cube",1138,2276.00
"Monterrey","Maven Toys Monterrey 2","Dinosaur Figures",1133,4532.00
"La Paz","Maven Toys La Paz 1","Mini Ping Pong Set",1132,3396.00
"Merida","Maven Toys Merida 1","Splash Balls",1128,1128.00
"Chilpancingo","Maven Toys Chilpancingo 1","Lego Bricks",1128,5640.00
"Guadalajara","Maven Toys Guadalajara 4","Splash Balls",1124,1124.00
"Xalapa","Maven Toys Xalapa 1","Action Figure",1117,6702.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 4","Animal Figures",1113,3339.00
"Chihuahua","Maven Toys Chihuahua 1","Lego Bricks",1108,5540.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 1","Animal Figures",1103,3309.00
"Cuernavaca","Maven Toys Cuernavaca 1","Lego Bricks",1099,5495.00
"Mexicali","Maven Toys Mexicali 2","Dinosaur Figures",1096,4384.00
"Monterrey","Maven Toys Monterrey 4","Animal Figures",1095,3285.00
"Durango","Maven Toys Durango 1","Magic Sand",1094,2188.00
"Chihuahua","Maven Toys Chihuahua 2","Dino Egg",1092,1092.00
"Xalapa","Maven Toys Xalapa 1","Deck Of Cards",1091,3273.00
"Ciudad Victoria","Maven Toys Ciudad Victoria 1","Rubik's Cube",1088,2176.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 3","Kids Makeup Kit",1087,6522.00
"Campeche","Maven Toys Campeche 2","Magic Sand",1085,2170.00
"Pachuca","Maven Toys Pachuca 1","Splash Balls",1084,1084.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 2","Dino Egg",1082,1082.00
"Monterrey","Maven Toys Monterrey 2","Animal Figures",1080,3240.00
"Guanajuato","Maven Toys Guanajuato 2","Mini Ping Pong Set",1080,3240.00
"Oaxaca","Maven Toys Oaxaca 1","Dino Egg",1080,1080.00
"Puebla","Maven Toys Puebla 2","Magic Sand",1079,2158.00
"Xalapa","Maven Toys Xalapa 1","Barrel O' Slime",1077,2154.00
"Monterrey","Maven Toys Monterrey 4","Kids Makeup Kit",1076,6456.00
"Ciudad Victoria","Maven Toys Ciudad Victoria 1","Action Figure",1074,6444.00
"Toluca","Maven Toys Toluca 2","Lego Bricks",1073,5365.00
"Pachuca","Maven Toys Pachuca 1","Deck Of Cards",1066,3198.00
"Guanajuato","Maven Toys Guanajuato 3","Deck Of Cards",1064,3192.00
"Mexicali","Maven Toys Mexicali 2","Rubik's Cube",1063,2126.00
"Cuernavaca","Maven Toys Cuernavaca 1","Deck Of Cards",1063,3189.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 2","Gamer Headphones",1062,6372.00
"Guanajuato","Maven Toys Guanajuato 1","Rubik's Cube",1060,2120.00
"Hermosillo","Maven Toys Hermosillo 2","Barrel O' Slime",1059,2118.00
"La Paz","Maven Toys La Paz 1","Colorbuds",1054,8432.00
"Saltillo","Maven Toys Saltillo 2","Magic Sand",1054,2108.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 1","Dart Gun",1053,4212.00
"Hermosillo","Maven Toys Hermosillo 3","Rubik's Cube",1051,2102.00
"Cuernavaca","Maven Toys Cuernavaca 1","Magic Sand",1048,2096.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 1","Mini Ping Pong Set",1038,3114.00
"Guanajuato","Maven Toys Guanajuato 2","Splash Balls",1036,1036.00
"Culiacan","Maven Toys Culiacan 1","Dino Egg",1035,1035.00
"Xalapa","Maven Toys Xalapa 1","Dinosaur Figures",1034,4136.00
"La Paz","Maven Toys La Paz 1","Magic Sand",1030,2060.00
"Monterrey","Maven Toys Monterrey 2","Hot Wheels 5-Pack",1029,2058.00
"Monterrey","Maven Toys Monterrey 4","PlayDoh Can",1028,1028.00
"Saltillo","Maven Toys Saltillo 1","Action Figure",1027,6162.00
"Cuidad de Mexico","Maven Toys Ciudad de Mexico 4","Dino Egg",1025,1025.00
"Saltillo","Maven Toys Saltillo 2","Lego Bricks",1023,5115.00
